Designator,Package,Quantity,Value,Digikey Number
"C50,C29,C6,C9,C14,C30,C31,C38,C39,C40,C41,C42,C43,C44,C45,C53,C57,C58,C63,C35,C36,C69,C70,C74,C75,C76,C77,C73,C27,C55,C80,C81,C82,C85,C86",C_0603,35,100n,311-1341-1-ND
"C56,C59,C66,C68",C_1206,4,1u,1276-1838-1-ND
"C1,C16,C15",C_0603,3,56p,1276-1197-1-ND
"C2,C4,C7,C11,C13,C19,C21,C25,C26,C48,C60,C67,C37,C78,C28,C79",C_0603,16,1u,478-1249-1-ND
"C3,C46,C47",C_0603,3,10p,311-1738-1-ND
"C5,C20,C23,C24,C34",C_0603,5,2.2u,490-10731-1-ND
"C8,C54,C71",C_0603,1,4.7u,1276-6462-1-ND
C22,C_0603,1,300p,1276-2261-1-ND
"C49,C61,C62,C64,C65",C_0603,5,10n,490-4781-1-ND
"C12,C17,C18,C32,C33,C72,C10",C_0805,7,10u,478-10492-1-ND
"C51,C52,C83,C84",CP18,4,560u,565-3997-ND
,,,,
"R32,R15,R27,R28,R29",R_0603,5,120,311-120HRCT-ND
R44,R_0603,1,18k,311-18.0KHRCT-ND
"R33,R2",R_0603,2,470,311-470HRCT-ND
"R1,R19",R_0603,2,120k,311-120KHRCT-ND
"R4,R5,R14,R17,R18,R25,R34,R37,R39,R40,R59,R62,R63,R38,R11",R_0603,15,10k,311-10.0KHRCT-ND
R6,R_0603,1,39k,311-39.0KHRCT-ND
"R7,R22,R23",R_0603,3,1.8k,311-1.80KHRCT-ND
R8,R_0603,1,33,311-33.0HRCT-ND
R9,R_0603,1,270k,311-270KHRCT-ND
R10,R_0603,1,100k,311-100KHRCT-ND
"R12,R13,R26",R_0603,3,100,311-100HRCT-ND
R16,R_0603,1,110k,311-110KHRCT-ND
"R20,R21",R_0603,2,3.9k,RC0603JR-073K9L 
R24,R_0603,1,180,311-180HRCT-ND
R31,R_0603,1,0,311-0.0GRCT-ND
R35,R_0603,1,1k,311-1.00KHRCT-ND
R36,R_0603,1,4.87k,311-4.87KHRCT-ND
"R49,R42,R43,R46,R47,R48",R_0603,6,2.2,311-2.2HRCT-ND
R56,R_0603,1,1,311-1.00HRCT-ND
RV1,Trimpot-23B,1,100,987-1591-1-ND
RV2,Trimpot-23B,1,36k,987-1017-1-ND
R64,RESISTOR_FMP200,1,150,150ZCT-ND
R45,R_0603,1,2k,311-2.00KHRCT-ND
R3,R_1206,1,59.0 0.1%,P59BCCT-ND
,,,,
U1,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,LM358A,497-1590-1-ND
U13,TQFP-128_14x14mm_Pitch0.4mm_LONG,1,TM4C1294KCPDT,296-37942-ND
U2,LAH_100-P,1,LAH-100P,398-1009-ND
"U20,U16",QSOP-16_3.9x4.9mm_Pitch0.635mm,2,Si8045AA,336-3022-ND
U4,SC-70-5,1,MCP6001,MCP6001T-I/LTCT-ND
U5,SOT-23-6,1,ADA4805-1,ADA4805-1ARJZ-R7CT-ND
"U7,U12",SOT-23-5,2,MIC5225-5.0,576-2999-1-ND
U8,DFN-10-1EP_3x3mm_Pitch0.5mm,1,LT3471,LT3471EDD#PBF-ND
U10,SOT-23-6,1,MCP1501T-30E,MCP1501T-30E/CHYCT-ND
U11,PDM2-S,1,PDM1-S12-S12,102-2987-5-ND 
U15,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,SN65HVD231D,296-26343-1-ND
U3,DIP-8_SMD,1,LOC110,CLA114CT-ND
U9,R-78E-0.5,1,R-78E3.3-0.5,945-1661-5-ND
"U19,U6",SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm,2,UCC27211,296-30344-1-ND
"U14,U22",MSOP-8_3x3mm_Pitch0.65mm,2,SN74LVCH2T45,296-16845-1-ND
U21,SC-74A,1,74LVC1G17,1727-6070-1-ND
"U17,U18",SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm,2,MIC4127,576-1186-ND
,,,,
Q10,SOT-669_LFPAK_ThermalVias-1,1,PSMN021-100,1727-2593-1-ND
"Q8,Q3,Q6,Q7,Q9,Q5",TO-247_Horizontal_Neutral123_MountFromLS_largePads,6,IRFP4468,IRFP4468PBF-ND
"Q1,Q2",SOIC-8_3.9x4.9mm_Pitch1.27mm,2,DMG4712SSS,DMG4712SSS-13DICT-ND
,,,,
"D6,D4,D5,D7",LED_0603,4,LED,732-4971-1-ND
"D2,D3",DIODE_POWERMITE,2,MBRM-120,MBRM120LT1GOSCT-ND
"D8,D13,D14",DO-214AA,2,SK310-B,SK310B-LTPMSCT-ND
Y1,NX5032GA-CRYSTAL,1,NX5032GA,644-1041-1-ND
,,,,
P4,Pin_Header_Straight_2x05_Pitch1.27mm,1,CONN_02X05,609-3712-ND
P2,TERM_4P_2-4_1990025,1,CONN_01X04,277-1796-ND 
,,,,
L1,INDUCTOR_NR40xx,1,10u,587-1664-1-ND
"L2,L3",INDUCTOR_NR40xx,2,15u,587-2653-1-ND
,,,,
H1,DHS-B10680-04A,1,DHS-B10680-04A,603-1747-ND
,,,,
,,1,LEADED NTC THERMISTOR,490-14491-ND
,,1,RGB LED,754-1492-ND
,,2,Fan,P19865-ND 
